字符	出现次数	编码
0xd0	0	1100111111011011111000000001111111111111111111111111111110111011110101100
0xd1	0	1100111111011011111000000001111111111111111111111111111110111010110100110
0xd2	0	1100111111011011111000000001111111111111111111111111111110111011110111101111111100
0xd3	0	11001111110110111110000000011111111111111111111111111111101110111101011010
0xd4	0	11001111110110111110000000011111111111111111111111111111101110111101111011111111110
0xd5	0	110011111101101111100000000111111111111111111111111111111011101111010110110
0xd6	0	11001111110110111110000000011111111111111111111111111111101110101101001001111111011
0xd7	0	110011111101101111100000000111111111111111111111111111111011101111010110111110
0xd8	0	110011111101101111100000000111111111111111111111111111111011101111011110111111111110
0xd9	0	1100111111011011111000000001111111111111111111111111111110111011110111101111110
0xda	0	110011111101101111100000000111111111111111111111111111111011101111011110111111110100
0xdb	0	11001111110110111110000000011111111111111111111111111111101110111101111011111001
0xdc	0	1100111111011011111000000001111111111111111111111111111110111011110101101111110
0xdd	0	11001111110110111110000000011111111111111111111111111111101110111101111011111110
0xde	0	1100111111011011111000000001111111111111111111111111111110111011110111101111111101010
0xdf	0	1100111111011011111000000001111111111111111111111111111110111011110111101111111111110
0xe0	0	11001111110110111110000000011111111111111111111111111111101110111101111011111111011
0xe1	0	11001111110110111110000000011111111111111111111111111111101110111101111011111111100
0xe2	0	11001111110110111110000000011111111111111111111111111111101110111101111011111111010110
0xe3	0	1100111111011011111000000001111111111111111111111111111110111011110111101111111111111
0xe4	0	110011111101101111100000000111111111111111111111111111111011101111011110111111111010
0xe5	0	110011111101101111100000000111111111111111111111111111111011101011010010011111110100
0xe6	0	110011111101101111100000000111111111111111111111111111111011101011010010011111110101111
0xe7	0	11001111110110111110000000011111111111111111111111111111101110111101111011111111101110
0xe8	0	1100111111011011111000000001111111111111111111111111111110111010110100100111111101010
0xe9	0	11001111110110111110000000011111111111111111111111111111101110111101111011111111101111
0xea	0	1100111111011011111000000001111111111111111111111111111110111010110100100111111101011101
0xeb	0	11001111110110111110000000011111111111111111111111111111101110101101001001111111001
0xec	0	11001111110110111110000000011111111111111111111111111111101110111101111011111111101100
0xed	0	11001111110110111110000000011111111111111111111111111111101110101101001001111111010110
0xee	0	11001111110110111110000000011111111111111111111111111111101110101101001001111111010111000
0xef	0	1100111111011011111000000001111111111111111111111111111110111011110111101111111101011101
0xf0	0	1100111111011011111000000001111111111111111111111111111110111011110111101111111110110100
0xf1	0	1100111111011011111000000001111111111111111111111111111110111011110111101111111101011110
0xf2	0	110011111101101111100000000111111111111111111111111111111011101011010010011111110101110010
0xf3	0	11001111110110111110000000011111111111111111111111111111101110111101111011111111101101010
0xf4	0	1100111111011011111000000001111111111111111111111111111110111011110111101111111101011111111
0xf5	0	11001111110110111110000000011111111111111111111111111111101110111101111011111111010111110
0xf6	0	1100111111011011111000000001111111111111111111111111111110111010110100100111111101011100110
0xf7	0	11001111110110111110000000011111111111111111111111111111101110111101111011111111101101011110
0xf8	0	11001111110110111110000000011111111111111111111111111111101110111101111011111111101101011000
0xf9	0	11001111110110111110000000011111111111111111111111111111101110111101111011111111010111111100
0xfa	0	11001111110110111110000000011111111111111111111111111111101110101101001001111111010111001110
0xfb	0	110011111101101111100000000111111111111111111111111111111011101111011110111111111011010110010
0xfc	0	110011111101101111100000000111111111111111111111111111111011101111011110111111111011010110011
0xfd	0	1100111111011011111000000001111111111111111111111111111110111011110111101111111110110101111110
0xfe	0	1100111111011011111000000001111111111111111111111111111110111011110111101111111110110101111101
0xff	0	1100111111011011111000000001111111111111111111111111111110111011110111101111111110110101111111
